player_id,full_name,short_name,position,secondary_positions,nationality,birthdate,height_cm,weight_kg,preferred_foot,current_club,club_id,market_value,contract_until,photo_url,last_seen_at,source_meta,metrics,gols,assistencias,xg,passes_precisos_pct,dribles_ganhos,duelos_aereos_ganhos_pct,interceptacoes,desarmes,grandes_chances_criadas,passes_decisivos,finalizacoes_no_alvo,minutos_jogados,jogos
919448,Dr. Pedro Freitas,Murilo,Centroavantes,,França,1991-10-30,178,94,Left,Bayern Munich,696,123.2,2029-10-09,https://example.com/photo.jpg,2026-04-10T12:09:06.304996,"{""source"": ""synthetic"", ""created_at"": ""2026-04-10T12:09:06.304996""}","{""gols"": 22, ""assistencias"": 6, ""xg"": 4.18, ""passes_precisos_pct"": 69.8, ""dribles_ganhos"": 65, ""duelos_aereos_ganhos_pct"": 73.1, ""interceptacoes"": 5, ""desarmes"": 21, ""grandes_chances_criadas"": 23, ""passes_decisivos"": 78, ""finalizacoes_no_alvo"": 66, ""minutos_jogados"": 1282, ""jogos"": 36}",22,6,4.18,69.8,65,73.1,5,21,23,78,66,1282,36
477410,José Miguel Mendes,André,Laterais,,Inglaterra,1992-10-22,193,94,Left,Botafogo,910,66.8,2027-07-11,https://example.com/photo.jpg,2026-04-10T12:09:06.304996,"{""source"": ""synthetic"", ""created_at"": ""2026-04-10T12:09:06.304996""}","{""gols"": 0, ""assistencias"": 8, ""xg"": 1.18, ""passes_precisos_pct"": 89.8, ""dribles_ganhos"": 12, ""duelos_aereos_ganhos_pct"": 64.0, ""interceptacoes"": 19, ""desarmes"": 8, ""grandes_chances_criadas"": 19, ""passes_decisivos"": 14, ""finalizacoes_no_alvo"": 10, ""minutos_jogados"": 3103, ""jogos"": 30}",0,8,1.18,89.8,12,64.0,19,8,19,14,10,3103,30
358449,Fernando Peixoto,Luiz Henrique,Meias-atacantes,,Espanha,1990-04-26,186,66,Right,Inter Milan,780,8.1,2031-01-01,https://example.com/photo.jpg,2026-04-10T12:09:06.304996,"{""source"": ""synthetic"", ""created_at"": ""2026-04-10T12:09:06.304996""}","{""gols"": 11, ""assistencias"": 20, ""xg"": 22.71, ""passes_precisos_pct"": 65.5, ""dribles_ganhos"": 44, ""duelos_aereos_ganhos_pct"": 66.6, ""interceptacoes"": 9, ""desarmes"": 30, ""grandes_chances_criadas"": 15, ""passes_decisivos"": 54, ""finalizacoes_no_alvo"": 63, ""minutos_jogados"": 1144, ""jogos"": 12}",11,20,22.71,65.5,44,66.6,9,30,15,54,63,1144,12
740849,Kaique Lopes,Breno,Zagueiros,,Espanha,2005-04-25,176,86,Left,Arsenal,631,38.6,2030-10-26,https://example.com/photo.jpg,2026-04-10T12:09:06.304996,"{""source"": ""synthetic"", ""created_at"": ""2026-04-10T12:09:06.304996""}","{""gols"": 0, ""assistencias"": 13, ""xg"": 2.02, ""passes_precisos_pct"": 62.9, ""dribles_ganhos"": 24, ""duelos_aereos_ganhos_pct"": 35.1, ""interceptacoes"": 63, ""desarmes"": 97, ""grandes_chances_criadas"": 10, ""passes_decisivos"": 53, ""finalizacoes_no_alvo"": 8, ""minutos_jogados"": 2529, ""jogos"": 37}",0,13,2.02,62.9,24,35.1,63,97,10,53,8,2529,37
658266,Sr. Davi Lucca Vieira,João Vitor,Meias-atacantes,,Inglaterra,1999-06-24,181,95,Ambidextrous,São Paulo,457,141.3,2030-05-15,https://example.com/photo.jpg,2026-04-10T12:09:06.304996,"{""source"": ""synthetic"", ""created_at"": ""2026-04-10T12:09:06.304996""}","{""gols"": 28, ""assistencias"": 6, ""xg"": 20.29, ""passes_precisos_pct"": 62.4, ""dribles_ganhos"": 60, ""duelos_aereos_ganhos_pct"": 23.4, ""interceptacoes"": 10, ""desarmes"": 4, ""grandes_chances_criadas"": 1, ""passes_decisivos"": 8, ""finalizacoes_no_alvo"": 69, ""minutos_jogados"": 1485, ""jogos"": 12}",28,6,20.29,62.4,60,23.4,10,4,1,8,69,1485,12
536847,José Sousa,Raul,Volantes,,Espanha,1993-02-17,168,79,Left,Palmeiras,610,6.5,2029-09-12,https://example.com/photo.jpg,2026-04-10T12:09:06.304996,"{""source"": ""synthetic"", ""created_at"": ""2026-04-10T12:09:06.304996""}","{""gols"": 3, ""assistencias"": 16, ""xg"": 1.97, ""passes_precisos_pct"": 85.0, ""dribles_ganhos"": 50, ""duelos_aereos_ganhos_pct"": 45.0, ""interceptacoes"": 79, ""desarmes"": 12, ""grandes_chances_criadas"": 15, ""passes_decisivos"": 38, ""finalizacoes_no_alvo"": 6, ""minutos_jogados"": 3136, ""jogos"": 20}",3,16,1.97,85.0,50,45.0,79,12,15,38,6,3136,20
505301,Sr. Vitor da Luz,Bento,Laterais,,Brasil,2009-04-13,173,83,Right,Inter Milan,539,4.4,2028-08-28,https://example.com/photo.jpg,2026-04-10T12:09:06.304996,"{""source"": ""synthetic"", ""created_at"": ""2026-04-10T12:09:06.304996""}","{""gols"": 4, ""assistencias"": 18, ""xg"": 1.21, ""passes_precisos_pct"": 70.0, ""dribles_ganhos"": 63, ""duelos_aereos_ganhos_pct"": 80.3, ""interceptacoes"": 96, ""desarmes"": 119, ""grandes_chances_criadas"": 13, ""passes_decisivos"": 1, ""finalizacoes_no_alvo"": 6, ""minutos_jogados"": 2710, ""jogos"": 16}",4,18,1.21,70.0,63,80.3,96,119,13,1,6,2710,16
776777,Rael Sampaio,Nicolas,Meias-atacantes,,Espanha,2008-04-11,198,65,Left,Flamengo,303,104.7,2027-11-21,https://example.com/photo.jpg,2026-04-10T12:09:06.304996,"{""source"": ""synthetic"", ""created_at"": ""2026-04-10T12:09:06.304996""}","{""gols"": 12, ""assistencias"": 0, ""xg"": 20.34, ""passes_precisos_pct"": 75.9, ""dribles_ganhos"": 20, ""duelos_aereos_ganhos_pct"": 22.2, ""interceptacoes"": 1, ""desarmes"": 21, ""grandes_chances_criadas"": 2, ""passes_decisivos"": 64, ""finalizacoes_no_alvo"": 69, ""minutos_jogados"": 2037, ""jogos"": 12}",12,0,20.34,75.9,20,22.2,1,21,2,64,69,2037,12
289310,Luiz Otávio Rios,Rodrigo,Laterais,,Brasil,2005-12-20,179,63,Ambidextrous,Arsenal,929,126.8,2030-02-23,https://example.com/photo.jpg,2026-04-10T12:09:06.304996,"{""source"": ""synthetic"", ""created_at"": ""2026-04-10T12:09:06.304996""}","{""gols"": 5, ""assistencias"": 10, ""xg"": 2.09, ""passes_precisos_pct"": 59.9, ""dribles_ganhos"": 77, ""duelos_aereos_ganhos_pct"": 83.5, ""interceptacoes"": 39, ""desarmes"": 66, ""grandes_chances_criadas"": 21, ""passes_decisivos"": 38, ""finalizacoes_no_alvo"": 8, ""minutos_jogados"": 3368, ""jogos"": 21}",5,10,2.09,59.9,77,83.5,39,66,21,38,8,3368,21
919761,Davi Lucca da Mata,Luiz Gustavo,Extremos,,França,2008-02-16,191,65,Ambidextrous,São Paulo,658,39.2,2030-02-12,https://example.com/photo.jpg,2026-04-10T12:09:06.304996,"{""source"": ""synthetic"", ""created_at"": ""2026-04-10T12:09:06.304996""}","{""gols"": 4, ""assistencias"": 16, ""xg"": 22.62, ""passes_precisos_pct"": 83.8, ""dribles_ganhos"": 64, ""duelos_aereos_ganhos_pct"": 81.7, ""interceptacoes"": 19, ""desarmes"": 10, ""grandes_chances_criadas"": 6, ""passes_decisivos"": 33, ""finalizacoes_no_alvo"": 37, ""minutos_jogados"": 2721, ""jogos"": 33}",4,16,22.62,83.8,64,81.7,19,10,6,33,37,2721,33
